Combination,Average CV R2,Intercept,macro_state_1_1,macro_state_1_2,macro_state_2_1,macro_state_2_2,innovation_success,category,year
Combination 1,0.9515718638270405,161.61687560221102,-161.16841242836182,25.03271923845495,149.6580706148794,-25.17364253133324,19.858674491810064,41.40504622026693,10.322252019961303
Combination 2,0.9450552747766949,244.16464110520891,-161.41767676362628,25.02099980368133,149.73374630795476,-25.18742195993176,19.943282764167204,,10.712230287687929
Combination 3,0.9513156493262193,190.74125299339593,-167.90839352579044,25.89110083518043,149.75568546510794,-25.182825394736202,19.89474191275069,41.468221939044625,
Combination 4,0.9479317016591156,321.14525002444464,-161.45179527154917,25.04469635973176,149.30357555070296,-25.132848129543632,,41.50386633577464,10.582290627968272
Combination 5,0.944778574321159,274.5218071961889,-168.41309463648412,25.911844151184454,149.83517475612607,-25.19697412467665,19.980848962665732,,
Combination 6,0.9476609482346964,351.30174499029226,-168.36241409189125,25.924764909308177,149.40299401194682,-25.14218679781525,,41.56882055081186,
Combination 7,0.9413862488522506,404.57217391888946,-161.7028673108674,25.032999986168516,149.37791867467652,-25.14648636358356,,,10.974314174555976
Combination 8,0.9410943349934096,435.9830459754585,-168.8703147277704,25.94570482279851,149.48114676027026,-25.156193682653548,,,
